Prev_start_date,Prev_expiry_date,New_drop_date,CnAdrPrf_ZIP,CnAttrCat_1_01_Comments,CnAttrCat_2_01_Comments,CnAttrCat_4_01_Description,CnAttrCat_5_01_Description,CnBio_Age,CnBio_Constit_Code,CnBio_ID,CnBio_Import_ID,CnMem_1_01_Consecutive_Years,CnMem_1_01_Cur_Category_description,CnMem_1_01_Cur_Expires_on,CnMem_1_01_Date_Joined,CnMem_1_01_Last_Dropped_Date,CnMem_1_01_Standing,Number_of_Records
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60563-1569,,,,,85,Individuals,106605,01894-079-0038002,0,Morton 4,,4/7/98,8/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,49115,,,,,69,Individuals,4593,19931222_LK_004593,0,Morton 4,,3/31/93,7/1/14,Dropped,1
2/1/12 0:00,2/1/13 0:00,1/31/14 0:00,60563,,,,,,Individuals,126847,01894-079-0067448,0,Morton 2,,6/18/02,2/1/14,Dropped,1
10/1/12 0:00,10/1/13 0:00,9/30/14 0:00,60555-2104,,,,,70,Individuals,5112,19931227_TS_005112,0,Morton 2,,12/31/86,10/1/14,Dropped,1
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60139-1763,,,,,70,Individuals,113725,01894-079-0047728,0,Morton 1,,11/16/99,8/1/14,Dropped,1
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60491,,,,Donor,,Individuals,113486,01894-079-0047396,0,Morton 4,,10/27/99,8/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60540-4007,,,,,70,Individuals,5531,19931229_BM_005531,0,Morton 2,,1/31/93,7/1/14,Dropped,1
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60195-2909,,,,,83,Individuals,107238,01894-079-0038838,0,Morton 1,,4/28/98,8/1/14,Dropped,1
2/1/12 0:00,2/1/13 0:00,1/31/14 0:00,60137-4614,,,,,85,Individuals,106894,01894-079-0038385,0,2 YR Morton 1,,4/16/98,2/1/14,Dropped,1
9/1/12 0:00,9/1/13 0:00,8/31/14 0:00,60564,,,,,56,Individuals,140381,01894-593-0000093152,0,Morton 2,,6/13/05,9/1/14,Dropped,1
9/1/12 0:00,9/1/13 0:00,8/31/14 0:00,60521,,,,,48,Individuals,103014,01894-079-0031249,0,Morton 1,,5/15/97,9/1/14,Dropped,1
10/1/12 0:00,10/1/13 0:00,9/30/14 0:00,60525-2341,,,,,81,Individuals,135330,01894-593-0000084344,0,Morton 4,,7/20/04,10/1/14,Dropped,1
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60540-5627,,,,,69,Individuals,125215,01894-079-0064925,0,2 YR Morton 4,,3/19/02,8/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60187,,,,,,Individuals,131641,01894-079-0076572,0,Morton 4,,9/29/03,7/1/14,Dropped,1
10/1/12 0:00,10/1/13 0:00,9/30/14 0:00,60187,,,,,,Individuals,148617,01894-593-0000107615,0,Morton 4,,4/19/06,10/1/14,Dropped,1
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60137,,,,,49,Individuals,139017,01894-593-0000090867,0,Morton 4,,4/10/05,8/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60137-5523,,,,,54,Individuals,148783,01894-593-0000107933,0,Morton 4,,4/21/06,7/1/14,Dropped,1
5/1/12 0:00,5/1/13 0:00,4/30/14 0:00,60148,,,,Donor,,Individuals,148813,01894-593-0000107990,0,2 YR Morton 6,,4/22/06,5/1/14,Dropped,1
9/1/12 0:00,9/1/13 0:00,8/31/14 0:00,60504,,,,,42,Individuals,148820,01894-593-0000107997,0,Morton 2,,4/22/06,9/1/14,Dropped,1
