FIPS,Female_life_Growth,Male_life_Growth,Per_young,Per_old,Per_white,Per_black,Per_hispanic,Per_single_mother,Per_NO_HighSchool,Per_college,Rate_median_income,Percent_divorced,Per_Evangelical_adherent,Per_Evangelical_congregations,Per_Obama,Per_Romney,Per_Rural,Per_diabetic,Per_Obese,Per_Physically_Inactive,Rate_Teen_Birth,Rate_Violent_Crime
1059,-2.09999999999999,2.27,24.66,15.05,88.17,4.26,14.01,7.79,28.45,11.39,35831,22.81,.819598870877073,.872549019607843,.29,.7,70.4,15,31,37,69,241
1061,.719999999999999,2.97,22.46,17.35,87.46,9.61,3.29,10.72,25.37,10.27,35237,24.16,.776748720448452,.676470588235294,.18,.81,89.6,14,36,35,53,323
1063,2.14,2.73999999999999,24.96,15.66,17.93,81.67,0,17.28,27.02,10.58,23004,28.86,.467624020887728,.428571428571429,.85,.15,100,19,48,38,56,1143
1065,.439999999999998,-.859999999999999,25.27,14.69,39.94,59.08,.34,17.4,29.03,9.97,29236,28.16,.457668161600752,.36231884057971,.63,.37,89.2,15,44,36,46,438
1067,2.41,4.08,22.51,17.48,68.65,28.11,2.09,10.05,23.65,14.77,39948,22.2,.735222567589619,.697674418604651,.35,.64,87.8,15,34,31,47,333
1069,1.45,3.42,24.66,14.18,70.24,25.44,2.79,11.23,17.15,18.83,41766,23.72,.746202757178292,.723809523809524,.3,.7,33.8,12,33,33,56,538
1071,-.469999999999999,1.88,22.66,16.06,91.9,3.43,2.41,7.69,25.57,13.5,36383,22.43,.833831254743545,.813793103448276,.28,.7,77,14,31,30,53,243
1073,1.22,3.44,23.61,13.09,53.88,41.98,3.65,11.44,13.27,28.95,45750,22.34,.559496840348158,.592654424040067,.53,.47,9.8,12,32,29,49,727
1075,.530000000000001,2.83,22.71,17.72,87.03,12.03,1.22,8.16,23.72,9.38,34711,22.81,.806192405091791,.755555555555556,.23,.76,100,13,32,36,58,56
1077,.109999999999999,1.39999999999999,21.6,16.61,87.3,10.16,2.16,7.62,17.14,21.58,39702,22.2,.757677665700474,.699029126213592,.34,.65,49.3,14,32,33,37,204
1079,.420000000000002,1.77,23.37,14.04,77.83,11.27,1.76,7.72,22.26,12.34,40009,20.25,.876777664929192,.753086419753086,.36,.63,91.3,14,38,36,51,198
1081,2.40000000000001,6.49000000000001,22.42,8.94,72.33,22.93,3.17,7.79,14.52,31.18,42320,15.73,.527929592981915,.531428571428571,.39,.59,27.4,10,30,27,25,320
1083,2.02,4.89,23.99,12.14,82.56,13.08,5.23,7.36,19.61,21.11,47199,19.54,.780661728857988,.734939759036145,.28,.71,57.6,10,31,31,49,118
1085,.019999999999996,2.96000000000001,24.99,14.27,25.5,73.84,.71,18.7,25.71,13.74,27905,24.84,.392308670919434,.42,.76,.23,100,19,45,38,65,527
1087,1.27,.579999999999998,20.68,13.93,15.55,82.62,1.11,15.04,21.14,21.08,29355,22.45,.281225127350466,.26865671641791,.87,.13,55.5,16,41,31,35,813
1089,2.09,4.22,23.86,12.13,69.61,23.68,4.29,8.49,11.09,37.4,57453,20.04,.624908279623203,.657407407407407,.4,.59,16.4,12,31,25,35,478
1091,1.33,2.33,25.17,16.07,45.9,53.32,.36,10.31,19.11,17.8,35165,24.35,.656920417214665,.568181818181818,.53,.46,69.3,17,40,35,51,513
1093,-2.27000000000001,.329999999999998,21.7,18.37,93.38,3.83,1.99,7.94,30.79,8.46,31799,24.52,.86614444942914,.848214285714286,.19,.8,88.9,12,33,36,65,178
1095,-.560000000000002,2.54000000000001,25.18,14.61,93.38,1.72,11.47,8.42,25.54,15.21,38563,21.95,.717184805041835,.782407407407407,.19,.79,53.3,12,29,32,76,285
1097,1.38,2.78,25.3,12.77,60.99,34.57,2.3,12.76,17.06,20.06,42187,22.38,.589751770670055,.590984974958264,.45,.54,20,12,32,31,59,612
1099,.920000000000002,2.5,25.43,15.23,55.4,40.87,1.04,14.46,24.65,10.43,29849,25.99,.57470661711413,.579545454545455,.46,.54,79,14,36,32,58,534
1101,1.52000000000001,4.25999999999999,24.78,11.83,41.5,54.22,3.35,14.2,15.37,31.16,44587,22.68,.436958495976361,.514124293785311,.62,.38,10.5,14,34,30,59,406
1103,.539999999999992,3.44,24.07,13.94,82.24,11.82,7.2,8.05,18.08,18.97,45564,21.41,.716400631467021,.716,.27,.72,38.6,11,33,27,52,250
1105,.439999999999998,-.859999999999999,24.93,16.16,29.95,68.61,.24,17.59,28.29,12.64,27222,21.89,.508755731875916,.477272727272727,.75,.25,100,20,40,35,54,622
1107,-1.17999999999999,2.26000000000001,24.16,16.73,57.06,42.02,1.35,13.63,23.04,10.26,29096,25.27,.725559920104263,.63265306122449,.46,.53,100,16,36,33,42,268
1109,-.0500000000000114,2.84,20.84,12.65,58.74,36.26,2.25,12.15,20.07,23.41,31179,19.19,.602679983683167,.584269662921348,.43,.56,51.7,15,37,32,35,357
1111,1.09,3.47,23.47,16.75,76.98,21.16,2.63,10.62,28.82,12.17,35823,23.66,.689276181504161,.650943396226415,.3,.69,81.3,15,32,35,54,248
1113,3.69999999999999,4.01000000000001,25.54,12.76,54.29,41.58,3.61,13.5,22.57,12.65,33754,27.52,.64282938763762,.556390977443609,.56,.44,35.4,13,39,37,57,451
1115,.709999999999994,3.2,23.89,12.85,89.07,8.79,2.05,8.29,20.08,14.56,49200,22.73,.856618016290753,.785714285714286,.16,.83,72.8,13,36,35,50,182
