"","IRI_KEY","FIPS","NAME","State_Name","REGION","DIVISION","Zip_name","Good_Bad","Zip_key","Zip_lon","Zip_lat","Share_Camp","Share_Other","Share_PL","Share_prog","per_kids18","per_kids9","per_old","per_white","per_black","hhsize","Per_college","per_hh_less20K","median_inc","capita_inc","Factor1","Factor2","Factor3","CLUSTER.cluster"
"1800",657831,50007,"Chittenden County","Vermont",1,1,"05495 Williston","Good",5495,-73.09,44.43,0.398323597,0.137386227,0.134176529,0.330113647,0.28,0.15,0.11,0.98,0.01,2.6,0.42,0.09,59859,29182,0.569339189459159,0.270241371680094,1.21142484361528,3
"1801",657849,48167,"Galveston County","Texas",3,7,"77546 Friendswood","Bad",77546,-95.19,29.52,0.723004319,0.10856485,0.083812935,0.084617896,0.31,0.16,0.07,0.86,0.04,2.91,0.35,0.07,70773,27637,1.26451220191896,0.80494735841164,0.638526055669324,2
"1802",657857,40101,"Muskogee County","Oklahoma",3,7,"74436 Haskell","Bad",74436,-95.71,35.79,0.740101493,0.014069857,0.194969473,0.050859177,0.29,0.14,0.13,0.73,0.09,2.71,0.1,0.35,30243,13423,0.499685437003434,-1.34937832628458,0.0969281913272296,3
"1803",657979,25021,"Norfolk County","Massachusetts",1,1,"02169 Quincy","Good",2169,-71.02,42.24,0.343157217,0.109071307,0.080457401,0.467314075,0.18,0.1,0.17,0.83,0.03,2.16,0.28,0.2,45056,25581,-1.43166081121895,0.069119196245084,-0.0437510465499927,4
"1804",658209,1081,"Lee County","Alabama",3,6,"36801 Opelika","Bad",36801,-85.4,32.69,0.659800588,0.015241939,0.260086703,0.064870771,0.27,0.15,0.13,0.55,0.43,2.45,0.2,0.34,32175,17460,0.203261848282191,-0.927410594886097,-1.04259602890622,1
"1805",658210,6073,"San Diego County","California",4,9,"92101 San Diego","Bad",92101,-117.17,32.72,0.280825385,0.307809375,0.162506412,0.248858828,0.06,0.03,0.12,0.68,0.1,1.45,0.29,0.44,23762,22428,-3.98366069954119,-0.344758821489977,-1.40732419435562,4
"1806",658219,24027,"Howard County","Maryland",3,5,"21043 Ellicott City","Bad",21043,-76.8,39.26,0.497625608,0.082394467,0.127909838,0.292070088,0.28,0.18,0.08,0.77,0.09,2.61,0.5,0.09,70349,31267,0.857905753693327,1.02909988279754,0.007959049305714,2
"1807",658234,51570,"Colonial Heights city","Virginia",3,5,"23834 Colonial Heights","Bad",23834,-77.39,37.29,0.601558295,0.077748571,0.16197084,0.158722294,0.25,0.14,0.15,0.81,0.15,2.49,0.17,0.15,45496,22766,-0.0256452058517787,-0.30215956962543,0.236028495088049,3
"1808",658239,34005,"Burlington County","New Jersey",1,2,"08055 Medford","Good",8055,-74.82,39.87,0.543232196,0.053940061,0.044395454,0.358432289,0.27,0.14,0.11,0.97,0.01,2.77,0.43,0.06,81863,37566,0.544750790639068,1.59465964303205,0.937673228003914,2
"1809",658246,36029,"Erie County","New York",1,2,"14221 Buffalo","Bad",14221,-78.72,42.98,0.603878575,0.086811369,0.161054146,0.14825591,0.22,0.11,0.23,0.93,0.02,2.41,0.42,0.13,60494,30597,-0.662520320802694,0.695144248428827,0.582680706107223,3
