Stock,Industry,SubIndustry,Date,Positiv,Negativ,Pstv,Ngtv,Strong,Weak,Active,Passive,Polarity PN,Polarity SW,Polarity AP
ABT,Health Care,Health Care Equipment & Services,1/27/10,0.129,0.044,0.12,0.042,0.217,0.03,0.17,0.09,0.495,0.76,0.307
ACE,Financials,Property & Casualty Insurance,2/1/06,0.141,0.07,0.129,0.053,0.187,0.03,0.17,0.083,0.337,0.723,0.345
ACE,Financials,Property & Casualty Insurance,4/26/06,0.132,0.07,0.121,0.061,0.181,0.04,0.179,0.098,0.305,0.639,0.293
ACE,Financials,Property & Casualty Insurance,7/26/06,0.126,0.074,0.112,0.062,0.189,0.034,0.163,0.085,0.262,0.695,0.315
ACE,Financials,Property & Casualty Insurance,10/25/06,0.165,0.06,0.149,0.05,0.201,0.026,0.165,0.084,0.466,0.772,0.326
ACE,Financials,Property & Casualty Insurance,1/31/07,0.147,0.073,0.139,0.066,0.188,0.033,0.155,0.082,0.333,0.705,0.307
ACE,Financials,Property & Casualty Insurance,4/25/07,0.149,0.091,0.136,0.074,0.209,0.041,0.179,0.087,0.242,0.674,0.348
ACE,Financials,Property & Casualty Insurance,7/25/07,0.14,0.094,0.132,0.084,0.191,0.045,0.174,0.088,0.195,0.617,0.33
ACE,Financials,Property & Casualty Insurance,10/24/07,0.144,0.087,0.131,0.078,0.198,0.046,0.18,0.079,0.25,0.626,0.391
ACE,Financials,Property & Casualty Insurance,12/17/07,0.162,0.075,0.156,0.066,0.212,0.035,0.178,0.086,0.37,0.717,0.346
ACE,Financials,Property & Casualty Insurance,2/6/08,0.147,0.076,0.134,0.063,0.185,0.046,0.172,0.077,0.323,0.603,0.382
ACE,Financials,Property & Casualty Insurance,3/20/08,0.164,0.064,0.16,0.058,0.211,0.029,0.154,0.089,0.438,0.756,0.267
ACE,Financials,Property & Casualty Insurance,4/30/08,0.144,0.076,0.127,0.061,0.179,0.045,0.154,0.064,0.309,0.595,0.414
ACE,Financials,Property & Casualty Insurance,7/30/08,0.169,0.063,0.157,0.052,0.172,0.043,0.162,0.097,0.456,0.6,0.25
